,company,name,ticker,date,brand,sales,transactions
4412073,Lyft,Lyft,LYFT,2014-12-24,Motivate,0,0.0
4410221,Lyft,Lyft,LYFT,2014-12-25,Lyft Scooters,0,0.0
4408368,Lyft,Lyft,LYFT,2014-12-25,Lyft Rides,13225,928.0
4412074,Lyft,Lyft,LYFT,2014-12-25,Motivate,0,0.0
4410222,Lyft,Lyft,LYFT,2014-12-26,Lyft Scooters,0,0.0
4408369,Lyft,Lyft,LYFT,2014-12-26,Lyft Rides,15765,1122.0
4412075,Lyft,Lyft,LYFT,2014-12-26,Motivate,0,0.0
4410223,Lyft,Lyft,LYFT,2014-12-27,Lyft Scooters,0,0.0
4408370,Lyft,Lyft,LYFT,2014-12-27,Lyft Rides,20572,1523.0
4412076,Lyft,Lyft,LYFT,2014-12-27,Motivate,0,0.0
4408371,Lyft,Lyft,LYFT,2014-12-28,Lyft Rides,18820,1389.0
4412077,Lyft,Lyft,LYFT,2014-12-28,Motivate,0,0.0
4410224,Lyft,Lyft,LYFT,2014-12-28,Lyft Scooters,0,0.0
4412078,Lyft,Lyft,LYFT,2014-12-29,Motivate,0,0.0
4410225,Lyft,Lyft,LYFT,2014-12-29,Lyft Scooters,0,0.0
4408372,Lyft,Lyft,LYFT,2014-12-29,Lyft Rides,16926,1230.0
4412079,Lyft,Lyft,LYFT,2014-12-30,Motivate,0,0.0
4410226,Lyft,Lyft,LYFT,2014-12-30,Lyft Scooters,0,0.0
4408373,Lyft,Lyft,LYFT,2014-12-30,Lyft Rides,19263,1463.0
4412080,Lyft,Lyft,LYFT,2014-12-31,Motivate,0,0.0
4408374,Lyft,Lyft,LYFT,2014-12-31,Lyft Rides,41962,2915.0
4410227,Lyft,Lyft,LYFT,2014-12-31,Lyft Scooters,0,0.0
4408375,Lyft,Lyft,LYFT,2015-01-01,Lyft Rides,46078,3073.0
4412081,Lyft,Lyft,LYFT,2015-01-01,Motivate,0,0.0
4410228,Lyft,Lyft,LYFT,2015-01-01,Lyft Scooters,0,0.0
4408376,Lyft,Lyft,LYFT,2015-01-02,Lyft Rides,25780,1888.0
4412082,Lyft,Lyft,LYFT,2015-01-02,Motivate,0,0.0
4410229,Lyft,Lyft,LYFT,2015-01-02,Lyft Scooters,0,0.0
4408377,Lyft,Lyft,LYFT,2015-01-03,Lyft Rides,26715,2056.0
4412083,Lyft,Lyft,LYFT,2015-01-03,Motivate,0,0.0
4410230,Lyft,Lyft,LYFT,2015-01-03,Lyft Scooters,0,0.0
4412084,Lyft,Lyft,LYFT,2015-01-04,Motivate,0,0.0
4410231,Lyft,Lyft,LYFT,2015-01-04,Lyft Scooters,0,0.0
4408378,Lyft,Lyft,LYFT,2015-01-04,Lyft Rides,20789,1575.0
4410232,Lyft,Lyft,LYFT,2015-01-05,Lyft Scooters,0,0.0
